Text,Rätt Kategori,Modell_Kategori,Tid (s),Rätt,Model,Antal Artiklar,Korrekt Klassifikation,Accuracy,Precision,Recall,CPU,GPU,Genomsnitt tid för artiklar
SUMMARY,,,0.37,1320/2225,gemma3:12b,2225.0,1320.0,59.33%,10.92%,8.53%,AMD Ryzen 7 9800X3D 8-Core Processor(4.70 GHz), RTX 4080-SUPER 16GB Vram, 0.37 s
prompt: Läs följande nyhetsartikel och kategorisera den i EN enkel kategori:
    Viktigt:
    - Svara endast med ene kategori (t.ex. Politik, Sport, Hälsa, Ekonomi, Kultur, etc.)
    - Svara bara med order, inga extra meningar.
    - Svara på Engelska
    - Om du tänker klassifiera kategorin som ekonomi skriv istället "business".
    
"Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the ...",business,business,2.55,True,,,,,,,,,
"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the...",business,business,0.37,True,,,,,,,,,
"Yukos unit buyer faces loan claim

The owners of embattled Russian oil giant Yukos are to ask the buyer of its former pr...",business,Business,0.33,True,,,,,,,,,
"High fuel prices hit BA's profits

British Airways has blamed high fuel prices for a 40% drop in profits.

Reporting its...",business,business,0.39,True,,,,,,,,,
"Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it cou...",business,business,0.34,True,,,,,,,,,
"Japan narrowly escapes recession

Japan's economy teetered on the brink of a technical recession in the three months to ...",business,business,0.3,True,,,,,,,,,
"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed th...",business,business,0.34,True,,,,,,,,,
"India calls for fair trade rules

India, which attends the G7 meeting of seven leading industrialised nations on Friday,...",business,business,0.34,True,,,,,,,,,
"Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and ...",business,Business,0.32,True,,,,,,,,,
"Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up...",business,business,0.32,True,,,,,,,,,
"Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a reviv...",business,Business,0.3,True,,,,,,,,,
"Indonesians face fuel price rise

Indonesia's government has confirmed it is considering raising fuel prices by as much ...",business,business,0.34,True,,,,,,,,,
