Headline,Link,Summary
Traders Blame ‘Insane’ Tech Advancements for Quiet FX Markets,https://www.bloomberg.com/news/articles/2025-09-19/currency-volatility-is-getting-crushed-in-era-of-insane-tech-advancements?srnd=homepage-europe,The shift has turned currencies into a strange corner of global markets.
"BOJ Unveils ETF Sales Plan, Holds Rates Steady in Contested Vote",https://www.bloomberg.com/news/articles/2025-09-19/boj-keeps-rates-steady-as-ishiba-s-departure-adds-to-uncertainty?srnd=homepage-europe,No summary
Gilts Fall as Deficit Numbers Highlight UK’s Fiscal Woes,https://www.bloomberg.com/news/articles/2025-09-19/gilts-fall-as-deficit-numbers-highlight-uk-s-fiscal-woes?srnd=homepage-europe,No summary
"AI Hype Poses Big Market Risk, JPMorgan Asset Management Says",https://www.bloomberg.com/news/articles/2025-09-19/ai-hype-bigger-market-risk-than-geopolitics-jpmorgan-asset-says?srnd=homepage-europe,No summary
Russian Troops Creep Through Empty Gas Pipes to Hide From Drones,https://www.bloomberg.com/news/articles/2025-09-19/russia-sends-troops-through-idle-gas-pipes-to-evade-drone-threat?srnd=homepage-europe,No summary
EU Mulls Phasing Out Russian LNG a Year Earlier Than Planned,https://www.bloomberg.com/news/articles/2025-09-19/eu-mulls-phasing-out-russian-lng-a-year-earlier-than-planned?srnd=homepage-europe,No summary
Crisis at NATO Shipbuilder Unsettles Europe’s Defense Efforts,https://www.bloomberg.com/news/articles/2025-09-19/crisis-at-nato-shipbuilder-unsettles-europe-s-defense-efforts?srnd=homepage-europe,No summary
Trump’s War on Media Expands With Jimmy Kimmel Suspension,https://www.bloomberg.com/news/articles/2025-09-18/kimmel-s-suspension-is-latest-victory-in-trump-s-war-on-media?srnd=homepage-europe,No summary
"China, US to Hold Call as TikTok, Tariffs and Nvidia Loom Large",https://www.bloomberg.com/news/articles/2025-09-18/trump-xi-to-hold-call-as-tiktok-tariffs-and-nvidia-loom-large?srnd=homepage-europe,The call may also tee up a potential in-person meeting.
Rheinmetall CEO’s Drone ‘Bubble’ Warning Won’t Be the Last,https://www.bloomberg.com/opinion/articles/2025-09-19/rheinmetall-ceo-military-drone-bubble-warning-won-t-be-the-last?srnd=homepage-europe,Talk of a frothy market for military UAVs pits upstart arms makers against incumbents.
